productivity_rank,Batch,Date,pH,OXYGEN,TOTAL_LIQUID_INFLOW,TOTAL_GAS_INFLOW,MEAN_OFFGAS,MEAN_PRESSURE
22,4053.0,2021-04-27 22:00:00,5.799166666666667,47.4625,21702.838333333333,8973.791666666666,1.72875,3.54625
22,4053.0,2021-04-27 23:00:00,5.8,43.395833333333336,21678.020833333332,8977.460000000001,1.7595833333333333,3.5570833333333334
22,4053.0,2021-04-28 00:00:00,5.803333333333334,45.84583333333333,21431.9325,8976.6425,1.74,3.5541666666666667
22,4053.0,2021-04-28 01:00:00,5.797499999999999,46.0725,21411.210833333334,8980.558333333332,1.7479166666666668,3.546666666666667
22,4053.0,2021-04-28 02:00:00,5.797499999999999,44.55666666666667,21535.279166666667,8982.43,1.76625,3.544166666666667
22,4053.0,2021-04-28 03:00:00,5.798333333333333,39.053333333333335,21700.693333333333,8979.833333333334,1.7945833333333334,3.5529166666666665
22,4053.0,2021-04-28 04:00:00,5.801666666666667,37.22833333333333,21531.14416666667,8980.345833333333,1.7970833333333334,3.5591666666666666
22,4053.0,2021-04-28 05:00:00,5.8,38.524166666666666,21431.698333333334,8979.417500000001,1.7908333333333333,3.5541666666666667
22,4053.0,2021-04-28 06:00:00,5.800833333333333,39.75333333333333,21448.524166666666,8983.225,1.7916666666666667,3.54875
22,4053.0,2021-04-28 07:00:00,5.797499999999999,39.4925,21553.8625,8982.299166666666,1.79375,3.5483333333333333
22,4053.0,2021-04-28 08:00:00,5.802499999999999,39.37083333333333,21645.03583333333,8981.058333333332,1.8004166666666668,3.54875
22,4053.0,2021-04-28 09:00:00,5.8,41.34583333333333,21489.44,9000.485833333334,1.785,3.5437499999999997
22,4053.0,2021-04-28 10:00:00,5.795000000000001,37.89333333333333,21388.7,8716.605833333333,1.8195833333333333,3.5425
22,4053.0,2021-04-28 11:00:00,5.798333333333333,18.970833333333335,21419.26,7768.4075,2.1104166666666666,3.4600000000000004
22,4053.0,2021-04-28 12:00:00,5.8075,18.044999999999998,21497.11,7932.239166666666,2.0595833333333333,3.37125
22,4053.0,2021-04-28 13:00:00,5.795833333333333,24.769166666666667,21727.254166666666,8061.373333333333,2.0258333333333334,3.3616666666666664
22,4053.0,2021-04-28 14:00:00,5.800833333333333,40.130833333333335,21461.735,9241.555833333334,1.7595833333333333,3.3366666666666664
22,4053.0,2021-04-28 15:00:00,5.8,37.550000000000004,21445.808333333334,9229.9725,1.7575,3.342916666666666
22,4053.0,2021-04-28 16:00:00,5.799166666666667,36.214999999999996,21479.49,9226.699166666667,1.7575,3.345833333333333
22,4053.0,2021-04-28 17:00:00,5.801666666666667,37.5425,21635.55916666667,9230.243333333334,1.7566666666666666,3.3466666666666662
22,4053.0,2021-04-28 18:00:00,5.801666666666667,39.100833333333334,21477.561666666665,9228.950833333334,1.7408333333333335,3.345
22,4053.0,2021-04-28 19:00:00,5.799166666666667,37.57833333333333,21309.045833333334,9221.784166666666,1.7508333333333335,3.3491666666666666
22,4053.0,2021-04-28 20:00:00,5.800833333333333,37.8175,21451.4575,9229.272500000001,1.74875,3.3541666666666665
22,4053.0,2021-04-28 21:00:00,5.800833333333333,37.88583333333333,21707.445,9232.059166666668,1.7483333333333333,3.35375
22,4053.0,2021-04-28 22:00:00,5.801666666666667,38.251666666666665,21634.109166666665,9231.585833333333,1.7474999999999998,3.3554166666666667
22,4053.0,2021-04-28 23:00:00,5.798333333333333,38.19916666666666,21562.133333333335,9232.798333333334,1.7470833333333333,3.3554166666666667
22,4053.0,2021-04-29 00:00:00,5.800833333333333,38.248333333333335,21541.930833333336,9230.7125,1.7479166666666668,3.356666666666667
22,4053.0,2021-04-29 01:00:00,5.799166666666667,38.55583333333333,21606.260833333334,9232.2925,1.75125,3.3579166666666667
22,4053.0,2021-04-29 02:00:00,5.802499999999999,39.05916666666666,21882.711666666666,9231.519166666667,1.7491666666666668,3.360416666666666
22,4053.0,2021-04-29 03:00:00,5.796666666666667,39.51083333333333,21617.655000000002,9229.814166666667,1.7408333333333335,3.3562499999999997
22,4053.0,2021-04-29 04:00:00,5.8,38.74666666666666,21602.186666666665,9230.612500000001,1.7454166666666666,3.36125
22,4053.0,2021-04-29 05:00:00,5.803333333333334,38.24666666666666,21696.783333333333,9228.806666666665,1.75125,3.36
22,4053.0,2021-04-29 06:00:00,5.795833333333333,38.66583333333333,21962.359166666665,9231.4175,1.7529166666666667,3.36125
22,4053.0,2021-04-29 07:00:00,5.803333333333334,38.1325,21770.3825,9231.72,1.7533333333333332,3.360416666666666
22,4053.0,2021-04-29 08:00:00,5.798333333333333,39.46083333333333,21643.016666666666,9228.24,1.7516666666666667,3.35875
22,4053.0,2021-04-29 09:00:00,5.799166666666667,38.38666666666666,21580.4625,9229.2575,1.7554166666666668,3.359166666666667
22,4053.0,2021-04-29 10:00:00,5.798333333333333,34.17,21620.313333333335,9230.4725,1.7762499999999999,3.3641666666666663
22,4053.0,2021-04-29 11:00:00,5.802499999999999,31.366666666666664,21856.63333333333,9231.711666666666,1.7874999999999999,3.3691666666666666
22,4053.0,2021-04-29 12:00:00,5.802499999999999,32.76833333333333,21660.021666666667,9228.896666666667,1.7758333333333332,3.3695833333333334
22,4053.0,2021-04-29 13:00:00,5.800833333333333,32.66833333333333,21576.068333333333,9228.756666666666,1.7829166666666667,3.3654166666666665
22,4053.0,2021-04-29 14:00:00,5.799166666666667,32.51916666666667,21614.885,9220.57,1.7808333333333335,3.3654166666666665
