Batch,Date and time,pH,OXYGEN,TOTAL_LIQUID_INFLOW,TOTAL_GAS_INFLOW,MEAN_OFFGAS,MEAN_PRESSURE,t_norm
4041,2020-04-05 12:00:00,5.7995833333333335,13.890625,25422.514791666665,11234.763333333334,6.666666666666667,3.619375,0.6491228070175439
4041,2020-04-06 00:00:00,5.800416666666667,3.6018749999999997,25446.867499999997,11425.646041666667,6.736770833333334,3.6544791666666665,0.6666666666666666
4041,2020-04-06 12:00:00,5.799791666666667,21.146041666666665,25477.540624999998,11730.692708333334,6.4120833333333325,3.6213541666666664,0.6842105263157895
4041,2020-04-07 00:00:00,5.800833333333333,5.215208333333334,25539.825208333335,12441.116041666666,6.398645833333333,3.6285416666666666,0.7017543859649122
4041,2020-04-07 12:00:00,5.7995833333333335,5.347708333333333,25551.854375,12333.544166666667,6.766249999999999,3.619375,0.7192982456140351
4041,2020-04-08 00:00:00,5.799375,14.555208333333333,26014.601250000003,12519.47875,6.542708333333334,3.6244791666666667,0.7368421052631579
4041,2020-04-08 12:00:00,5.80875,9.23375,25988.119375,12243.870416666667,7.087291666666666,3.6335416666666664,0.7543859649122807
4041,2020-04-09 00:00:00,5.8,3.143125,25778.028749999998,13019.11625,6.4653125,3.65625,0.7719298245614035
4041,2020-04-09 12:00:00,5.800625,3.76625,25767.615,12930.83625,6.489166666666667,3.654166666666667,0.7894736842105263
4041,2020-04-10 00:00:00,5.8133333333333335,7.413125,25676.94083333333,12345.201458333335,6.683020833333334,3.663229166666667,0.8070175438596491
4041,2020-04-10 12:00:00,5.799166666666667,18.200416666666666,25764.653749999998,13017.634583333333,6.958333333333333,3.6292708333333334,0.8245614035087719
4041,2020-04-11 00:00:00,5.799791666666667,37.666666666666664,25315.028333333335,13373.966458333334,6.6890624999999995,3.5746875,0.8421052631578947
4041,2020-04-11 12:00:00,5.800625,13.478541666666667,25274.235208333335,13079.076458333335,6.898333333333333,3.5971875,0.8596491228070176
4041,2020-04-12 00:00:00,5.803333333333334,3.1345833333333335,25169.70708333333,12247.496458333333,6.885729166666667,3.6508333333333334,0.8771929824561403
4041,2020-04-12 12:00:00,5.800625,2.750625,25220.277708333335,12722.982916666668,6.106979166666666,3.669791666666667,0.8947368421052632
4041,2020-04-13 00:00:00,5.799166666666667,4.672291666666667,25221.507708333334,12755.768333333333,6.056041666666666,3.6588541666666665,0.9122807017543859
4041,2020-04-13 12:00:00,5.800625,4.215208333333334,25228.08875,12752.234583333333,6.289791666666667,3.6567708333333333,0.9298245614035088
4041,2020-04-14 00:00:00,5.800416666666667,4.765,25211.75395833333,12752.301458333333,6.297499999999999,3.6551041666666664,0.9473684210526315
4041,2020-04-14 12:00:00,5.800625,6.804166666666667,25431.157916666667,11741.084375,6.759895833333334,3.6487499999999997,0.9649122807017544
4041,2020-04-15 00:00:00,5.7995833333333335,7.804375,25565.064375,10912.777291666667,6.7375,3.6635416666666667,0.9824561403508771
4041,2020-04-15 12:00:00,5.802916666666666,3.9189583333333338,25557.89895833333,10283.526458333334,7.625416666666666,3.6676041666666666,1.0
4043,2020-06-09 12:00:00,5.802631578947368,43.201052631578946,20932.92631578947,9218.272105263159,0.24500000000000002,3.5578947368421048,0.0
4043,2020-06-10 00:00:00,5.799375,19.587708333333335,22618.04125,9224.160416666668,0.245,3.6384375,0.02631578947368421
4043,2020-06-10 12:00:00,5.8,27.14770833333333,23266.411875,10385.646041666667,0.245,3.6428125,0.05263157894736842
4043,2020-06-11 00:00:00,5.798958333333332,19.948958333333334,24064.406458333335,10733.841875,0.245,3.6415624999999996,0.07894736842105263
4043,2020-06-11 12:00:00,5.794999999999999,4.217291666666667,24385.553750000003,10731.570416666667,2.16375,3.657291666666667,0.10526315789473684
4043,2020-06-12 00:00:00,5.801458333333333,8.455833333333333,24720.850000000002,11059.991666666667,1.0101041666666666,3.6525,0.13157894736842105
4043,2020-06-12 12:00:00,5.801666666666667,9.993125000000001,24905.991458333334,11791.435833333335,1.3771875,3.6671875000000003,0.15789473684210525
4043,2020-06-13 00:00:00,5.800208333333333,18.42020833333333,25019.881458333333,12742.608333333332,0.245,3.6369791666666664,0.18421052631578946
4043,2020-06-13 12:00:00,5.771041666666666,31.981458333333332,25036.466875,12035.245833333334,0.2478125,3.5878125,0.21052631578947367
4043,2020-06-14 00:00:00,5.806666666666666,5.773541666666667,24846.205625000002,12741.195833333333,0.28562499999999996,3.6353125,0.23684210526315788
4043,2020-06-14 12:00:00,5.798541666666666,5.7335416666666665,24504.895833333332,12743.279583333335,0.245,3.643333333333333,0.2631578947368421
4043,2020-06-15 00:00:00,5.791666666666667,3.5995833333333334,24482.57625,12460.326874999999,0.24583333333333332,3.6472916666666664,0.2894736842105263
4043,2020-06-15 12:00:00,5.7995833333333335,2.2775,24610.811666666665,12746.565,0.245,3.6605208333333334,0.3157894736842105
4043,2020-06-16 00:00:00,5.799791666666667,3.1925000000000003,24820.032291666666,12745.074999999999,0.3394791666666667,3.659479166666667,0.34210526315789475
